Date,AAPL,AMZN,GOOG,META,MSFT,NVDA,TSLA
2015-01-05,-0.02857591897853411,-0.02073069374229033,-0.0210660175392118,-0.01619148199639209,-0.009238575321854132,-0.017034489514781655,-0.042950328828715974
2015-01-06,9.41593536122421e-05,-0.02309805250552857,-0.023449922753663293,-0.013564868112754406,-0.014786159148679144,-0.030787509016762856,0.005648255842151179
2015-01-07,0.013924646393031722,0.010543956937772861,-0.0017146112495578386,0.0,0.012625311296005085,-0.002608891262931025,-0.0015631517125408972
2015-01-08,0.03770260761408201,0.006812759380520335,0.0031480560347879223,0.026308987149929065,0.028993753820597733,0.03692755508434311,-0.00156553106269541
2015-01-09,0.001071972014255114,-0.011818170381278284,-0.013035192519031565,-0.005644000593825385,-0.00844070451011874,0.004019755411598161,-0.01898062692006783
2015-01-12,-0.02494950822409969,-0.018765211590182393,-0.007322702942969901,-0.013207563527559056,-0.01258147334112788,-0.012616839395482972,-0.021768130883067914
2015-01-13,0.008839405109810001,0.011362407445480715,0.007342884334873405,-0.003525336537224017,-0.0051633254081967905,-0.0015247714511258258,0.010037948528329803
2015-01-14,-0.003817523783188861,-0.004999968410075042,0.009407854652059415,-0.0022262803554295315,-0.00866591249071457,0.004061321491614361,-0.05826208511535263
2015-01-15,-0.027515672184011047,-0.021785701035730624,0.0018349849706084385,-0.029670062286790172,-0.010498383541630607,-0.007117666854889425,-0.0042646091303445875
2015-01-16,-0.007800130205891167,0.013121402610751216,0.012457250227720169,0.0151446037537757,0.01657264961945632,0.01820062426473894,0.006234752215779189
2015-01-20,0.025430838122785203,-0.004481346448052067,-0.002325122160526939,0.014000912700812565,0.0032386302622581372,0.0030017380343104806,-0.005922112022732375
2015-01-21,0.007605481010814481,0.0266255183222718,0.02173868029661953,0.006536879136209294,-0.01018341833728161,0.013889313672706452,0.023887916243012904
2015-01-22,0.0256829895616129,0.04303046145131587,0.031073393598032156,0.011788491468167168,0.026009088036023736,0.01709409116081121,0.025366093948943954
2015-01-23,0.0051467277101405,0.006648407611927956,0.010350557354934616,0.002315469691283583,0.0010604700471855725,0.00290122310865795,-0.0016380356186696048
