Date,AAPL,AMZN,GOOG,META,MSFT,NVDA,TSLA
2015-01-02,24.261045455932617,15.425999641418457,25.990793228149414,77.96932983398438,39.93305969238281,0.4830382764339447,14.620667457580566
2015-01-05,23.57757568359375,15.10949993133545,25.448997497558594,76.71705627441406,39.565834045410156,0.474879652261734,14.005999565124512
2015-01-06,23.579795837402344,14.76449966430664,24.859163284301758,75.68342590332031,38.985111236572266,0.46048206090927124,14.085332870483398
2015-01-07,23.910432815551758,14.920999526977539,24.81657600402832,75.68342590332031,39.480430603027344,0.4592822790145874,14.063332557678223
2015-01-08,24.82912826538086,15.02299976348877,24.89482307434082,77.70100402832031,40.64187240600586,0.47655948996543884,14.041333198547363
2015-01-09,24.855758666992188,14.846500396728516,24.572420120239258,77.2636947631836,40.300270080566406,0.4784789979457855,13.77733325958252
2015-01-12,24.2432918548584,14.570500373840332,24.39314079284668,76.24993896484375,39.796409606933594,0.47248002886772156,13.480667114257812
2015-01-13,24.458538055419922,14.737000465393066,24.57291603088379,75.98160552978516,39.59145736694336,0.4717601537704468,13.616666793823242
2015-01-14,24.365345001220703,14.66349983215332,24.805185317993164,75.81263732910156,39.24984359741211,0.4736800193786621,12.845999717712402
2015-01-15,23.704055786132812,14.34749984741211,24.850744247436523,73.5963134765625,38.83993911743164,0.4703204929828644,12.791333198547363
2015-01-16,23.519880294799805,14.536999702453613,25.16225242614746,74.7193832397461,39.488983154296875,0.47895899415016174,12.871333122253418
2015-01-20,24.125680923461914,14.472000122070312,25.10381507873535,75.77288055419922,39.61708068847656,0.48039886355400085,12.795332908630371
2015-01-21,24.30986785888672,14.862500190734863,25.655513763427734,76.26982116699219,39.21569061279297,0.48711782693862915,13.104666709899902
2015-01-22,24.942304611206055,15.515999794006348,26.465232849121094,77.17424774169922,40.2490348815918,0.49551624059677124,13.441332817077637
2015-01-23,25.071006774902344,15.619500160217285,26.740585327148438,77.3531494140625,40.29174041748047,0.496955931186676,13.419333457946777
2015-01-26,25.097633361816406,15.482999801635742,26.505842208862305,77.02516174316406,40.14654541015625,0.4947962462902069,13.770000457763672
2015-01-27,24.21888542175293,15.337499618530273,25.684734344482422,75.3156967163086,36.4316520690918,0.47104039788246155,13.732000350952148
2015-01-28,25.58804702758789,15.195500373840332,25.25733757019043,75.77288055419922,35.17627716064453,0.4633617103099823,13.291333198547363
2015-01-29,26.38469886779785,15.58899974822998,25.290027618408203,77.52210235595703,35.87654495239258,0.4746397137641907,13.680000305175781
2015-01-30,25.998579025268555,17.726499557495117,26.47167205810547,75.44490814208984,34.501609802246094,0.46072202920913696,13.573332786560059
2015-02-02,26.32477569580078,18.223499298095703,26.17254638671875,74.5305404663086,35.253116607666016,0.47080039978027344,14.062666893005371
2015-02-03,26.32921600341797,18.177499771118164,26.210186004638672,74.93801879882812,35.52640914916992,0.48255833983421326,14.557332992553711
2015-02-04,26.531150817871094,18.237499237060547,25.889266967773438,75.16661834716797,35.731361389160156,0.48375821113586426,14.569999694824219
2015-02-05,26.72051429748535,18.694499969482422,26.127975463867188,75.14674377441406,36.2523193359375,0.49167680740356445,14.732666969299316
2015-02-06,26.49550437927246,18.714000701904297,26.297346115112305,74.01371765136719,36.21814727783203,0.4895171523094177,14.490667343139648
2015-02-09,26.671499252319336,18.527999877929688,26.140352249145508,73.9839096069336,36.17546081542969,0.48903748393058777,14.498666763305664
2015-02-10,27.18390655517578,18.649999618530273,26.591520309448242,74.72932434082031,36.38041305541992,0.5027147531509399,14.419333457946777
2015-02-11,27.821062088012695,18.756999969482422,26.543481826782227,76.04122161865234,36.192535400390625,0.4993554353713989,14.186667442321777
2015-02-12,28.173057556152344,18.85849952697754,26.88817024230957,75.76294708251953,36.798866271972656,0.5351094603538513,13.525333404541016
2015-02-13,28.31118392944336,19.09149932861328,27.18927764892578,75.27593231201172,37.464996337890625,0.5353493690490723,13.584667205810547
2015-02-17,28.478271484375,18.771499633789062,26.88371467590332,75.13681030273438,37.48218536376953,0.5370291471481323,13.623332977294922
2015-02-18,28.676549911499023,18.668500900268555,26.72821044921875,76.2400131225586,37.43920135498047,0.5307900905609131,13.630666732788086
2015-02-19,28.616397857666016,18.950000762939453,26.88519859313965,78.93340301513672,37.413387298583984,0.5322300791740417,14.11400032043457
2015-02-20,28.85031509399414,19.183000564575195,26.691062927246094,79.41046142578125,37.723018646240234,0.5360694527626038,14.473999977111816
2015-02-23,29.630046844482422,19.006999969482422,26.3424129486084,78.35694885253906,37.97243881225586,0.531749963760376,13.822667121887207
2015-02-24,29.445144653320312,18.929500579833984,26.549427032470703,77.96932983398438,37.92082595825195,0.5374106764793396,13.607333183288574
2015-02-25,28.692140579223633,19.26849937438965,26.934720993041992,79.0725326538086,37.8348274230957,0.5333157181739807,13.583999633789062
2015-02-26,29.055278778076172,19.239999771118164,27.50969886779785,79.91734313964844,37.8950309753418,0.5347612500190735,13.812666893005371
2015-02-27,28.618621826171875,19.007999420166016,27.65431022644043,78.48616027832031,37.714420318603516,0.5313889980316162,13.555999755859375
2015-03-02,28.75897979736328,19.283000946044922,28.29515266418457,79.26136779785156,37.74021530151367,0.5443965196609497,13.155332565307617
2015-03-03,28.81912612915039,19.230499267578125,28.4090576171875,79.11228942871094,37.22418212890625,0.5342794060707092,13.303999900817871
2015-03-04,28.636451721191406,19.13599967956543,28.395689010620117,80.4043197631836,37.03495407104492,0.5403013825416565,13.496000289916992
2015-03-05,28.161922454833984,19.39150047302246,28.492755889892578,80.7124252319336,37.07794952392578,0.5506595373153687,13.375332832336426
